Date,Category,Expense
21-11-2021,Food,875
21-11-2021,Other,58
21-11-2021,Transportation,130
22-11-2021,Food,90
22-11-2021,Food,97
23-11-2021,Food,179
23-11-2021,Transportation,50
24-11-2021,Food,15
24-11-2021,Food,70
24-11-2021,Food,20
24-11-2021,Transportation,58
25-11-2021,Food,145
25-11-2021,Food,95
25-11-2021,Transportation,58
26-11-2021,Food,150
26-11-2021,Food,102
26-11-2021,Food,40
26-11-2021,Food,150
26-11-2021,Food,60
27-11-2021,Food,120
27-11-2021,Food,130
27-11-2021,Food,75
27-11-2021,Food,30
27-11-2021,Transportation,35
28-11-2021,Food,94
28-11-2021,Food,269.4
29-11-2021,Food,40
29-11-2021,Food,50
29-11-2021,Food,40
29-11-2021,Food,40
30-11-2021,Food,128
30-11-2021,Food,70
30-11-2021,Gift,115
01-12-2021,Beauty,196
01-12-2021,Food,160
02-12-2021,Food,504
02-12-2021,Food,75
03-12-2021,Apparel,130
03-12-2021,Apparel,20
03-12-2021,Food,25
03-12-2021,Food,40
04-12-2021,Food,324
04-12-2021,Food,65
04-12-2021,Food,200
04-12-2021,Other,30
05-12-2021,Apparel,1800
05-12-2021,Food,25
05-12-2021,Housing,4800
06-12-2021,Apparel,500
06-12-2021,Apparel,140
06-12-2021,Food,25
06-12-2021,Food,150
07-12-2021,Food,25
07-12-2021,Food,15
08-12-2021,Food,100
08-12-2021,Food,1120.72
08-12-2021,Food,10
09-12-2021,Food,40
09-12-2021,Food,280
09-12-2021,Food,25
09-12-2021,Food,110
10-12-2021,Food,241
10-12-2021,Food,195
11-12-2021,Other,30
12-12-2021,Food,25
14-12-2021,Food,40
14-12-2021,Food,75
14-12-2021,Food,80
14-12-2021,Food,74
14-12-2021,Food,65
16-12-2021,Food,30
16-12-2021,Food,20
16-12-2021,Food,30
16-12-2021,Food,110
17-12-2021,Food,70
17-12-2021,Food,110
17-12-2021,Other,50
18-12-2021,Food,113
18-12-2021,Food,160
18-12-2021,Other,100
18-12-2021,Other,200
18-12-2021,Other,286
18-12-2021,Social Life,363.72
19-12-2021,Other,100
20-12-2021,Food,80
20-12-2021,Food,20
20-12-2021,Food,20
20-12-2021,Food,85
20-12-2021,Food,40
20-12-2021,Transportation,43
20-12-2021,Transportation,286
20-12-2021,Transportation,80
21-12-2021,Food,239
21-12-2021,Food,25
21-12-2021,Food,18
23-12-2021,Food,15
23-12-2021,Food,32
24-12-2021,Food,262
24-12-2021,Social Life,150
25-12-2021,Food,504
25-12-2021,Food,30
25-12-2021,Food,30
25-12-2021,Food,40
25-12-2021,Transportation,306
27-12-2021,Food,115
27-12-2021,Food,50
27-12-2021,Other,42
27-12-2021,Other,60
28-12-2021,Food,14
30-12-2021,Food,20
30-12-2021,Food,25
30-12-2021,Food,20
30-12-2021,Other,43
30-12-2021,Other,325
30-12-2021,Other,1365
30-12-2021,Other,43
